country_province,commodity,lev1,lev1_name,lev2,lev2_name,LCA
CA-AB,Steam and heated or cooled air or water,2,Services,02 01,ManufacturingServices,A1-A3
CA-AB,Residential buildings,5,ConstructionSector,05 02,DirectEmissions,A5
CA-AB,Industrial buildings (except mine buildings),5,ConstructionSector,05 02,DirectEmissions,A5
CA-AB,Office buildings,5,ConstructionSector,05 02,DirectEmissions,A5
CA-AB,"Shopping centres, plazas, malls and stores",5,ConstructionSector,05 02,DirectEmissions,A5
CA-AB,Other commercial buildings,5,ConstructionSector,05 02,DirectEmissions,A5
CA-AB,"Schools, colleges, universities and other educational buildings",5,ConstructionSector,05 02,DirectEmissions,A5
CA-AB,"Health care buildings, nursing homes and senior citizen homes",5,ConstructionSector,05 02,DirectEmissions,A5
CA-AB,Other institutional buildings,5,ConstructionSector,05 02,DirectEmissions,A5
CA-AB,"Highways, roads, streets, bridges and tunnels",5,ConstructionSector,05 02,DirectEmissions,A5
CA-AB,Other land transportation civil engineering works,5,ConstructionSector,05 02,DirectEmissions,A5
CA-AB,Oil and gas extraction sites and structures,5,ConstructionSector,05 02,DirectEmissions,A5
CA-AB,Other oil and gas engineering works,5,ConstructionSector,05 02,DirectEmissions,A5
CA-AB,Electric power engineering works,5,ConstructionSector,05 02,DirectEmissions,A5
CA-AB,Communications networks,5,ConstructionSector,05 02,DirectEmissions,A5
CA-AB,Marine engineering works,5,ConstructionSector,05 02,DirectEmissions,A5
CA-AB,Waterworks engineering works,5,ConstructionSector,05 02,DirectEmissions,A5
CA-AB,Sewage engineering works,5,ConstructionSector,05 02,DirectEmissions,A5
CA-AB,Mining engineering works,5,ConstructionSector,05 02,DirectEmissions,A5
CA-AB,Other civil engineering works,5,ConstructionSector,05 02,DirectEmissions,A5
CA-AB,Repair construction services,5,Other,05 02,Other,A5
CA-AB,Dog and cat food,6,Other,06 01,Other,A1-A3
CA-AB,Other animal feed,6,Other,06 01,Other,A1-A3
CA-AB,Flour and other grain mill products,6,Other,06 01,Other,A1-A3
CA-AB,Margarine and cooking oils,6,Other,06 01,Other,A1-A3
CA-AB,Breakfast cereal and other cereal products,6,Other,06 01,Other,A1-A3
CA-AB,"Grain and oilseed products, n.e.c.",6,Other,06 01,Other,A1-A3
CA-AB,Sugar and sugar mill by-products,6,Other,06 01,Other,A1-A3
CA-AB,Chocolate (except confectionery),6,Other,06 01,Other,A1-A3
CA-AB,Confectionery products,6,Other,06 01,Other,A1-A3
CA-AB,"Fresh, frozen and canned fruit and vegetable juices",6,Other,06 01,Other,A1-A3
CA-AB,Preserved fruit and vegetables and frozen foods,6,Other,06 01,Other,A1-A3
CA-AB,Processed fluid milk and milk products,6,Other,06 01,Other,A1-A3
CA-AB,Cheese and cheese products,6,Other,06 01,Other,A1-A3
CA-AB,Butter and dry and canned dairy products,6,Other,06 01,Other,A1-A3
CA-AB,"Ice cream, sherbet and similar frozen desserts",6,Other,06 01,Other,A1-A3
CA-AB,Fresh and frozen beef and veal,6,Other,06 01,Other,A1-A3
CA-AB,Fresh and frozen pork,6,Other,06 01,Other,A1-A3
CA-AB,Fresh and frozen poultry of all types,6,Other,06 01,Other,A1-A3
CA-AB,"Processed meat products, other miscellaneous meats and animal by-products",6,Other,06 01,Other,A1-A3
CA-AB,Prepared and packaged seafood products,6,Other,06 01,Other,A1-A3
CA-AB,"Bread, rolls and flatbreads",6,Other,06 01,Other,A1-A3
CA-AB,"Cookies, crackers and baked sweet goods",6,Other,06 01,Other,A1-A3
CA-AB,"Flour mixes, dough and dry pasta",6,Other,06 01,Other,A1-A3
CA-AB,Snack food products,6,Other,06 01,Other,A1-A3
CA-AB,Coffee and tea,6,Other,06 01,Other,A1-A3
CA-AB,"Flavouring syrups, seasonings and dressings",6,Other,06 01,Other,A1-A3
CA-AB,"Other food products, n.e.c.",6,Other,06 01,Other,A1-A3
CA-AB,"Carbonated and non-carbonated drinks, bottled water and ice",6,Other,06 01,Other,A1-A3
CA-AB,Beer,6,Other,06 01,Other,A1-A3
CA-AB,Wine and brandy,6,Other,06 01,Other,A1-A3
CA-AB,Distilled liquor,6,Other,06 01,Other,A1-A3
CA-AB,"Stemmed, redried or reconstituted tobacco",6,Other,06 01,Other,A1-A3
CA-AB,"Cigarettes, cigars, chewing and smoking tobacco",6,Other,06 01,Other,A1-A3
CA-AB,"Cannabis products (except seeds, plants, and plant parts)",6,Other,06 01,Other,A1-A3
CA-AB,"Fibre, yarn and thread",6,Other,06 01,Other,A1-A3
CA-AB,Fabrics,6,Materials,06 01,Finishes,A1-A3
CA-AB,"Carpets, rugs and mats",6,Materials,06 01,Finishes,A1-A3
CA-AB,Other textile furnishings,6,Materials,06 01,Finishes,A1-A3
CA-AB,"Textile products, n.e.c.",6,Materials,06 01,Finishes,A1-A3
CA-AB,Fabric weaving and finishing services,5,Services,05 03,ManufacturingServices,0
CA-AB,"Men's, women's, boys' and girls' clothing",6,Other,06 01,Other,A1-A3
CA-AB,Infant clothing,6,Other,06 01,Other,A1-A3
CA-AB,Clothing accessories,6,Other,06 01,Other,A1-A3
CA-AB,Leather and dressed furs,6,Other,06 01,Other,A1-A3
CA-AB,Footwear,6,Other,06 01,Other,A1-A3
CA-AB,"Suitcases, handbags and other leather and allied products",6,Other,06 01,Other,A1-A3
CA-AB,Hardwood lumber,3,Materials,04 04,Wood,A1-A3
CA-AB,Softwood lumber,3,Materials,04 04,Wood,A1-A3
CA-AB,Wood chips,3,Materials,04 04,Wood,A1-A3
CA-AB,Other sawmill products and treated wood products,3,Materials,04 04,Wood,A1-A3
CA-AB,Veneer and plywood,3,Materials,04 04,Wood,A1-A3
CA-AB,Wood trusses and engineered wood members,3,Materials,04 04,Wood,A1-A3
CA-AB,Reconstituted wood products,3,Materials,04 04,Wood,A1-A3
CA-AB,Wood windows and doors,3,Materials,04 07,Openings,A1-A3
CA-AB,Wood containers and pallets,3,Materials,04 04,Wood,A1-A3
CA-AB,Prefabricated wood and manufactured (mobile) buildings and components,3,Materials,04 04,Wood,A1-A3
CA-AB,"Wood products, n.e.c.",3,Materials,04 04,Wood,A1-A3
CA-AB,Waste and scrap of wood and wood by-products,3,Materials,04 04,Wood,A1-A3
CA-AB,Wood pulp,3,Materials,04 04,Wood,A1-A3
CA-AB,Paper (except newsprint),3,Other,04 12,Other,A1-A3
CA-AB,Newsprint,6,Other,06 01,Other,A1-A3
CA-AB,Paperboard,6,Materials,06 01,Finishes,A1-A3
CA-AB,Paperboard containers,6,Other,06 01,Other,A1-A3
CA-AB,Paper office supplies,6,Other,06 01,Other,A1-A3
CA-AB,Disposable diapers and feminine hygiene products,6,Other,06 01,Other,A1-A3
CA-AB,Sanitary paper products,6,Other,06 01,Other,A1-A3
CA-AB,Other converted paper products,6,Other,06 01,Other,A1-A3
CA-AB,Waste and scrap of paper and paperboard,6,Other,06 01,Other,A1-A3
CA-AB,Printed products,6,Other,06 01,Other,A1-A3
CA-AB,Printing support services,5,Services,05 03,ManufacturingServices,0
CA-AB,Contract printing services for publishers,5,Services,05 03,ManufacturingServices,0
CA-AB,Motor gasoline,1,Energy,01 01,Energy,A1-A3
CA-AB,Diesel and biodiesel fuels,1,Energy,01 01,Energy,A1-A3
CA-AB,Light fuel oils,1,Energy,01 01,Energy,A1-A3
CA-AB,Aviation fuel,1,Energy,01 01,Energy,A1-A3
CA-AB,Heavy fuel oils,1,Energy,01 01,Energy,A1-A3
CA-AB,Lubricants and other petroleum refinery products,3,Other,04 11,Other,A1-A3
CA-AB,Asphalt (except natural) and asphalt products,3,Materials,04 09,Asphalt,A1-A3
CA-AB,Coke and other coke oven products,6,Energy,06 01,Energy,A1-A3
CA-AB,"Solid fuel products, n.e.c.",6,Other,06 01,Other,A1-A3
CA-AB,Petrochemicals,6,Energy,06 01,Energy,A1-A3
CA-AB,Industrial gases,6,Other,06 01,Other,A1-A3
CA-AB,Dyes and pigments,6,Other,06 01,Other,A1-A3
CA-AB,Other basic inorganic chemicals and nuclear fuel,6,Energy,06 01,Energy,A1-A3
CA-AB,"Basic organic chemicals, n.e.c.",6,Other,06 01,Other,A1-A3
CA-AB,Plastic resins,3,Materials,04 014,PlasticsAndComposites,A1-A3
CA-AB,Rubber and rubber compounds and mixtures,3,Other,04 12,Other,A1-A3
CA-AB,Artificial and synthetic fibres and filaments,3,Other,04 05,Other,A1-A3
CA-AB,Ammonia and chemical fertilizers,3,Materials,04 09,EarthworkAndLandscaping_Materials,A1-A3
CA-AB,Pesticides and other agricultural chemicals,3,Materials,04 09,EarthworkAndLandscaping_Materials,A1-A3
CA-AB,Pharmaceutical and medicinal products,3,Other,04 12,Other,A1-A3
CA-AB,"Paints, coatings and adhesive products",3,Materials,04 09,Finishes,A1-A3
CA-AB,Soaps and cleaning compounds,3,Other,04 12,Other,A1-A3
CA-AB,Perfumes and toiletries,3,Other,04 12,Other,A1-A3
CA-AB,"Chemical products, n.e.c.",3,Other,04 12,Other,A1-A3
CA-AB,Plastic bags,3,Materials,04 014,PlasticsAndComposites,A1-A3
CA-AB,Plastic films and non-rigid sheets,3,Materials,04 014,PlasticsAndComposites,A1-A3
CA-AB,Plastic and foam building and construction materials,3,Materials,04 014,PlasticsAndComposites,A1-A3
CA-AB,Plastic profile shapes,3,Materials,04 014,PlasticsAndComposites,A1-A3
CA-AB,Foam products (except for construction),3,Materials,04 014,PlasticsAndComposites,A1-A3
CA-AB,Plastic bottles,3,Materials,04 014,PlasticsAndComposites,A1-A3
CA-AB,Motor vehicle plastic parts,3,Materials,04 014,PlasticsAndComposites,A1-A3
CA-AB,"Plastic products, n.e.c.",3,Materials,04 014,PlasticsAndComposites,A1-A3
CA-AB,Tires,3,Other,04 12,Other,A1-A3
CA-AB,Rubber and plastic hoses and belts,3,Materials,04 12,PlasticsAndComposites,A1-A3
CA-AB,"Rubber products, n.e.c.",3,Materials,04 12,PlasticsAndComposites,A1-A3
CA-AB,Waste and scrap of plastic and rubber,3,Materials,04 014,PlasticsAndComposites,A1-A3
CA-AB,Cement,3,Materials,04 01,Concrete,A1-A3
CA-AB,Ready-mixed concrete,3,Materials,04 01,Concrete,A1-A3
CA-AB,Concrete products,3,Materials,04 01,Concrete,A1-A3
CA-AB,Clay and ceramic products and refractories,3,Materials,04 06,Finishes,A1-A3
CA-AB,"Glass (including automotive), glass products and glass containers",3,Materials,04 07,Openings,A1-A3
CA-AB,Waste and scrap of glass,3,Materials,04 014,PlasticsAndComposites,A1-A3
CA-AB,Lime and gypsum products,3,Materials,04 05,ThermalAndMoistureProtection,A1-A3
CA-AB,"Non-metallic mineral products, n.e.c.",3,Materials,04 05,ThermalAndMoistureProtection,A1-A3
CA-AB,Iron and steel basic shapes and ferro-alloy products,3,Materials,04 03,Metals,A1-A3
CA-AB,Iron and steel pipes and tubes (except castings),3,Materials,04 03,Metals,A1-A3
CA-AB,Cold-rolled iron or steel products,3,Materials,04 03,Metals,A1-A3
CA-AB,Bauxite and aluminum oxide,3,Materials,04 03,Metals,A1-A3
CA-AB,Unwrought aluminum including alloys,3,Materials,04 03,Metals,A1-A3
CA-AB,Basic and semi-finished products of aluminum and alloys,3,Materials,04 03,Metals,A1-A3
CA-AB,Unwrought copper including alloys,3,Materials,04 03,Metals,A1-A3
CA-AB,Unwrought nickel including alloys,3,Materials,04 03,Metals,A1-A3
CA-AB,Unwrought precious metals including alloys,3,Materials,04 03,Metals,A1-A3
CA-AB,Other unwrought non-ferrous metals including alloys,3,Materials,04 03,Metals,A1-A3
CA-AB,"Gold, store of value",3,Materials,04 03,Metals,A1-A3
CA-AB,Basic and semi-finished products of non-ferrous metals and alloys (except aluminum),3,Materials,04 03,Metals,A1-A3
CA-AB,Ferrous metal castings,3,Materials,04 03,Metals,A1-A3
CA-AB,Non-ferrous metal castings,3,Materials,04 03,Metals,A1-A3
CA-AB,Waste and scrap of iron and steel,3,Materials,04 03,Metals,A1-A3
CA-AB,Waste and scrap of non-ferrous metals,3,Materials,04 03,Metals,A1-A3
CA-AB,Forged and stamped metal products,3,Materials,04 03,Metals,A1-A3
CA-AB,"Prefabricated metal buildings and other non-wood buildings, and components",3,Materials,04 03,Metals,A1-A3
CA-AB,Fabricated steel plate and other fabricated structural metal,3,Materials,04 03,Metals,A1-A3
CA-AB,Metal windows and doors,3,Materials,04 07,Openings,A1-A3
CA-AB,Other architectural metal products,3,Materials,04 03,Metals,A1-A3
CA-AB,"Light gauge metal containers, crowns and closures",3,Materials,04 03,Metals,A1-A3
CA-AB,"Boilers, tanks and heavy gauge metal containers",3,Materials,04 03,Metals,A1-A3
CA-AB,"Builders, motor vehicle and other hardware",3,Materials,04 03,Metals,A1-A3
CA-AB,Springs and wire products,3,Materials,04 03,Metals,A1-A3
CA-AB,Threaded metal fasteners and other turned metal products including automotive,3,Materials,04 03,Metals,A1-A3
CA-AB,"Coating, engraving, heat treating and similar metal processing services",5,Services,05 03,ManufacturingServices,0
CA-AB,"Hand tools, kitchen utensils and cutlery (except precious metal)",3,Other,04 10,Other,A1-A3
CA-AB,Metal valves and pipe fittings,3,Materials,04 03,Metals,A1-A3
CA-AB,Ball and roller bearings,3,Materials,04 03,Metals,A1-A3
CA-AB,"Guns, ammunition and other munitions",3,Other,04 12,Other,A1-A3
CA-AB,"Fabricated metal products, n.e.c.",3,Materials,04 03,Metals,A1-A3
CA-AB,"Agricultural, lawn and garden machinery and equipment",4,Materials,04  013,EarthworkAndLandscaping_Materials,A1-A3
CA-AB,"Logging, mining and construction machinery and equipment",4,Other,04  013,Other,A1-A3
CA-AB,Other industry-specific machinery,4,Other,04  013,Other,A1-A3
CA-AB,Commercial and service industry machinery,4,Other,04  013,Other,A1-A3
CA-AB,"Industrial and commercial fans, blowers and air purification equipment",4,Materials,04  013,MEP,A1-A3
CA-AB,Heating and cooling equipment (except household refrigerators and freezers),4,Materials,04  013,MEP,A1-A3
CA-AB,Metalworking machinery and industrial moulds,4,Other,04  013,Other,A1-A3
CA-AB,"Turbines, turbine generators, and turbine generator sets (except aircraft turbines)",4,Materials,04  013,MEP,A1-A3
CA-AB,Other engine and power transmission equipment,4,Materials,04  013,MEP,A1-A3
CA-AB,Pumps and compressors (except fluid power),4,Materials,04  013,MEP,A1-A3
CA-AB,Material handling equipment,4,Materials,04  013,MEP,A1-A3
CA-AB,Other miscellaneous general-purpose machinery,4,Materials,04  013,MEP,A1-A3
CA-AB,"Computers, computer peripherals and parts",4,Materials,04  013,MEP,A1-A3
CA-AB,Telephone apparatus,4,Materials,04  013,MEP,A1-A3
CA-AB,Other communications equipment,4,Materials,04  013,MEP,A1-A3
CA-AB,Audio and video equipment and unrecorded media,4,Materials,04  013,MEP,A1-A3
CA-AB,Navigational and guidance instruments,4,Materials,04  013,MEP,A1-A3
CA-AB,Medical devices,4,Other,04  013,Other,A1-A3
CA-AB,"Measuring, control and scientific instruments",4,Materials,04  013,MEP,A1-A3
CA-AB,"Printed and integrated circuits, semiconductors and printed circuit assemblies",4,Materials,04  013,MEP,A1-A3
CA-AB,Other electronic components,4,Materials,04  013,MEP,A1-A3
CA-AB,Electric light bulbs and tubes,4,Materials,04  013,MEP,A1-A3
CA-AB,Lighting fixtures,4,Materials,04  013,MEP,A1-A3
CA-AB,Small electric appliances,4,Materials,04  013,MEP,A1-A3
CA-AB,Major appliances,4,Materials,04  013,MEP,A1-A3
CA-AB,"Power, distribution and other transformers",4,Materials,04  013,MEP,A1-A3
CA-AB,Electric motors and generators,4,Materials,04  013,MEP,A1-A3
CA-AB,"Switchgear, switchboards, relays and industrial control apparatus",4,Materials,04  013,MEP,A1-A3
CA-AB,Batteries and battery chargers,4,Materials,04  013,MEP,A1-A3
CA-AB,Communication and electric wire and cable,4,Materials,04  013,MEP,A1-A3
CA-AB,Wiring devices,4,Materials,04  013,MEP,A1-A3
CA-AB,Other electrical equipment and components,4,Materials,04  013,MEP,A1-A3
CA-AB,Passenger cars,2,Transport,03 02,Transport,A4
CA-AB,"Light-duty trucks, vans and sport utility vehicles (SUVs)",2,Transport,03 02,Transport,A4
CA-AB,Medium and heavy-duty trucks,2,Transport,03 02,Transport,A4
CA-AB,Buses,2,Transport,03 02,Transport,A4
CA-AB,Motor vehicle bodies and special purpose motor vehicles,2,Transport,03 02,Transport,A4
CA-AB,Freight and utility trailers,2,Transport,03 02,Transport,A4
CA-AB,"Motor homes, travel trailers and camping trailers",2,Transport,03 02,Transport,A4
CA-AB,Motor vehicle gasoline engines and engine parts,2,Transport,03 02,Transport,A4
CA-AB,Motor vehicle electrical and electronic equipment,2,Transport,03 02,Transport,A4
CA-AB,Motor vehicle steering and suspension components,2,Transport,03 02,Transport,A4
CA-AB,Motor vehicle brakes and brake systems,2,Transport,03 02,Transport,A4
CA-AB,Motor vehicle transmission and drive train components,2,Transport,03 02,Transport,A4
CA-AB,"Motor vehicle interior trim, seats and seat parts",2,Transport,03 02,Transport,A4
CA-AB,Motor vehicle metal stampings,2,Transport,03 02,Transport,A4
CA-AB,Other miscellaneous motor vehicle parts,2,Transport,03 02,Transport,A4
CA-AB,Aircraft,2,Transport,03 02,Transport,A4
CA-AB,Aircraft engines,2,Transport,03 02,Transport,A4
CA-AB,Aircraft parts and other aerospace equipment,2,Transport,03 02,Transport,A4
CA-AB,"Locomotives, railway rolling stock, and rapid transit equipment",2,Transport,03 02,Transport,A4
CA-AB,Parts of railway rolling stock,2,Transport,03 02,Transport,A4
CA-AB,Ships,2,Transport,03 02,Transport,A4
CA-AB,Boats and personal watercraft,2,Transport,03 02,Transport,A4
CA-AB,Other transportation equipment and related parts,2,Transport,03 02,Transport,A4
CA-AB,Wood cabinets and counter tops,3,Materials,04 06,Finishes,A1-A3
CA-AB,Household furniture,3,Materials,04 06,Finishes,A1-A3
CA-AB,"Institutional and other furniture, n.e.c.",3,Materials,04 06,Finishes,A1-A3
CA-AB,Office furniture,3,Materials,04 06,Finishes,A1-A3
CA-AB,Office and store fixtures,3,Materials,04 06,Finishes,A1-A3
CA-AB,Mattresses and foundations,3,Materials,04 06,Finishes,A1-A3
CA-AB,"Blinds, shades, and curtain fixtures",3,Materials,04 06,Finishes,A1-A3
CA-AB,"Medical, dental and personal safety supplies, instruments and equipment",6,Other,06 01,Other,A1-A3
CA-AB,Jewellery and silverware,6,Other,06 01,Other,A1-A3
CA-AB,Sporting and athletic goods,6,Other,06 01,Other,A1-A3
CA-AB,Toys and games,6,Other,06 01,Other,A1-A3
CA-AB,Office supplies (except paper),3,Materials,04 06,Finishes,A1-A3
CA-AB,Signs,3,Materials,04 06,Finishes,A1-A3
CA-AB,Other miscellaneous manufactured products,3,Materials,04 06,Finishes,A1-A3
CA-AB,"Custom manufacturing services (except printing, finishing of textiles and metals)",5,Services,05 03,ManufacturingServices,A1-A3
CA-AB,Wholesale margins - farm products,6,Services,06 01,DesignServicesAndMargins,0
CA-AB,Wholesale margins - petroleum and petroleum products,6,Services,06 01,DesignServicesAndMargins,0
CA-AB,"Wholesale margins - food, beverages and tobacco products",6,Services,06 01,DesignServicesAndMargins,0
CA-AB,Wholesale margins - personal and household goods,6,Services,06 01,DesignServicesAndMargins,0
CA-AB,"Wholesale margins - motor vehicles, motor vehicle parts and accessories",6,Services,06 01,DesignServicesAndMargins,0
CA-AB,Wholesale margins - building materials and supplies,6,Services,06 01,DesignServicesAndMargins,0
CA-AB,"Wholesale margins - machinery, equipment and supplies",6,Services,06 01,DesignServicesAndMargins,0
CA-AB,Wholesale margins - miscellaneous products,6,Services,06 01,DesignServicesAndMargins,0
CA-AB,Wholesale trade commissions,6,Services,06 01,DesignServicesAndMargins,0
CA-AB,Retail margins - motor vehicles and parts,6,Services,06 01,DesignServicesAndMargins,0
CA-AB,Retail margins - furniture and home furnishings,6,Services,06 01,DesignServicesAndMargins,0
CA-AB,Retail margins - electronics and appliances,6,Services,06 01,DesignServicesAndMargins,0
CA-AB,"Retail margins - building materials, garden equipment and supplies",6,Services,06 01,DesignServicesAndMargins,0
CA-AB,Retail margins - food and beverages,6,Services,06 01,DesignServicesAndMargins,0
CA-AB,Retail margins - health and personal care products,6,Services,06 01,DesignServicesAndMargins,0
CA-AB,Retail margins - automotive fuels,6,Services,06 01,DesignServicesAndMargins,0
CA-AB,Retail margins - clothing and clothing accessories,6,Services,06 01,DesignServicesAndMargins,0
CA-AB,Retail margins - sporting and leisure products,6,Services,06 01,DesignServicesAndMargins,0
CA-AB,Retail margins - miscellaneous products (except cannabis),6,Services,06 01,DesignServicesAndMargins,0
CA-AB,Retail margins - cannabis products (licensed),6,Services,06 01,DesignServicesAndMargins,0
CA-AB,Retail margins - cannabis products (unlicensed),6,Services,06 01,DesignServicesAndMargins,0
CA-AB,Retail margins - household fuels,6,Services,06 01,DesignServicesAndMargins,0
CA-AB,Used motor vehicles,2,Transport,03 02,Transport,A4
CA-AB,Other used consumer goods,6,Other,06 01,Other,0
CA-AB,Retail trade commissions,6,Services,06 01,DesignServicesAndMargins,0
CA-AB,Air passenger transportation services,2,Transport,02 01,Transport,A4
CA-AB,Air freight transportation services,2,Transport,02 01,Transport,A4
CA-AB,Air specialty services,2,Transport,02 01,Transport,A4
CA-AB,Rail passenger transportation services,2,Transport,02 01,Transport,A4
CA-AB,Rail freight transportation services,2,Transport,02 01,Transport,A4
CA-AB,Water passenger transportation services,2,Transport,02 01,Transport,A4
CA-AB,Water freight transportation services,2,Transport,02 01,Transport,A4
CA-AB,Moving services,2,Transport,02 01,Transport,A4
CA-AB,Road transportation services for general freight,2,Transport,02 01,Transport,A4
CA-AB,Road transportation services for specialized freight,2,Transport,02 01,Transport,A4
CA-AB,Urban transit services,2,Transport,02 01,Transport,A4
CA-AB,Interurban and rural bus passenger transportation services,2,Transport,02 01,Transport,A4
CA-AB,School bus services,2,Transport,02 01,Transport,A4
CA-AB,Other transit and passenger transportation services by road,2,Transport,02 01,Transport,A4
CA-AB,Scenic and sightseeing tour services,2,Transport,02 01,Transport,A4
CA-AB,Taxi and limousine services,2,Transport,02 01,Transport,A4
CA-AB,Transportation of natural gas by pipeline,2,Transport,02 01,Transport,A4
CA-AB,Transportation of crude oil and other commodities by pipeline,2,Transport,02 01,Transport,A4
CA-AB,Air transportation support services,2,Transport,02 01,Transport,A4
CA-AB,Aircraft maintenance and repair services,2,Transport,02 01,Transport,A4
CA-AB,"Rail transportation support, maintenance and repair services",2,Transport,02 01,Transport,A4
CA-AB,"Water transportation support, maintenance and repair services",2,Transport,02 01,Transport,A4
CA-AB,Road transportation support services,2,Transport,02 01,Transport,A4
CA-AB,Freight transportation arrangement and customs brokering services,2,Transport,02 01,Transport,A4
CA-AB,Other transportation support services,2,Transport,02 01,Transport,A4
CA-AB,Postal services,2,Transport,02 01,Transport,A4
CA-AB,"Courier, parcel, and local messenger and delivery services",2,Transport,02 01,Transport,A4
CA-AB,Grain storage,6,Other,06 01,Other,0
CA-AB,Warehousing and storage services (except grain storage),6,Other,06 01,Other,0
CA-AB,Newspapers,6,Other,06 01,Other,0
CA-AB,Advertising space in printed newspapers,6,Services,06 01,ManufacturingServices,0
CA-AB,Periodicals,6,Other,06 01,Other,0
CA-AB,Books,6,Other,06 01,Other,0
CA-AB,Other published products,6,Other,06 01,Other,0
CA-AB,Advertising space in printed periodicals and in other printed publications,6,Other,06 01,Other,0
CA-AB,Licensing of rights for commercial use of literary works (except software) and artistic works,6,Other,06 01,Other,0
CA-AB,General purpose software,6,Other,06 01,Other,0
CA-AB,"Recorded movies, television programs and videos",6,Other,06 01,Other,0
CA-AB,"Movie, television program and video production, post-production and editing services",6,Other,06 01,Other,0
CA-AB,"Licensing of rights for commercial use of dramatic works, and other copyrighted property n.e.c.",6,Other,06 01,Other,0
CA-AB,Admissions to motion picture film exhibitions,6,Other,06 01,Other,0
