,,"('CA-NL', 'kg CO2 eq (short)')","('CA-PE', 'kg CO2 eq (short)')","('CA-NS', 'kg CO2 eq (short)')","('CA-NB', 'kg CO2 eq (short)')","('CA-QC', 'kg CO2 eq (short)')","('CA-ON', 'kg CO2 eq (short)')","('CA-MB', 'kg CO2 eq (short)')","('CA-SK', 'kg CO2 eq (short)')","('CA-AB', 'kg CO2 eq (short)')","('CA-BC', 'kg CO2 eq (short)')","('CA-YT', 'kg CO2 eq (short)')","('CA-NT', 'kg CO2 eq (short)')","('CA-NU', 'kg CO2 eq (short)')"
CA-AB,Logs and bolts,38284.88140058649,3648.3795689866283,95942.55101694257,20474.03861534449,1103395.5011463303,3606598.079059325,2009867.5574937626,1816104.8145707333,26362291.919347525,5140564.075062887,45094.14048742862,113624.33471950081,17322.539496917445
CA-AB,Pulpwood,595.0809475825342,87.56540608656405,534.9290883707558,365.3136478253842,3280.7143603223503,15669.521974663883,4359.219318701811,4448.606386658206,36952.99501454011,40206.0320962183,164.11043962151462,171.17056384673592,211.42749488354332
CA-AB,Fuel wood,1.1525381883239258,0.1373403263862089,1.2799513971576937,0.6211004807812722,8.566203852072762,36.199117012497446,7.49760012592414,11.185676379662766,54.297734469105585,45.9778122704184,124.92858448325153,2195.880733236468,123.4764424740361
CA-AB,"Rough untreated poles, posts and piling",241.74249027491177,54.13727145931151,1490.2188082231726,214.9395705984797,8088.227823504486,58659.96331583442,32467.406068574834,16103.997457790354,366846.2914882776,60837.68593996017,653.4190157327726,2639.6996003018303,96.56144803862796
CA-AB,"Fish, crustaceans, shellfish and other fishery products",460.64053967482107,47.705483754395274,287.88842908104004,263.2215758565054,3670.975461071467,7195.624576492095,1496.8480278844902,3689.904463863834,66709.08126951766,6089.334007860359,168.07769100783338,198.36143460506372,199.28047693961705
CA-AB,Custom work services for forestry,75256.06437679306,11239.987490216214,301936.36589863914,48507.524212791956,2212660.978067975,12123834.235262478,6550128.406245682,3646226.2360201897,80080241.60420041,12709238.555690074,134312.27992756123,510285.5421602007,29691.762461216036
CA-AB,Support services for crop production,10472.398410152524,1689.4212375713466,11563.889099615151,11335.236529291173,164430.44613779383,260965.97309050703,39803.837472912426,300206.54414586414,1499409.063359153,853727.0631342487,5222.284027850914,113169.9289703253,73588.19452949068
CA-AB,"Support services for animal production, hunting and fishing",125434.23553898174,23388.486263627412,169486.75195600485,164463.75552604027,2202533.921845563,3779292.645351713,555305.8342836805,819312.9077084765,10157588.999278935,3338376.30550947,60221.484472686454,100762.1534068136,54684.816255737984
CA-AB,Support services for forestry,8673.21295219481,1132.6842996726964,29779.76105165497,5533.090167859474,246280.49918493265,1175898.9332721678,636562.5589393085,433494.7367972227,8021077.627031108,1397334.074178638,13437.564053652795,60518.51904974475,12699.764010471388
CA-AB,Conventional crude oil,6413164.817977701,1302964.6811450357,8772791.094425865,2472316.2872452303,72793213.35114476,426247214.16557246,58274426.193358146,121179373.0266722,531762144.5219772,254702360.26303047,5112512.151286477,6748278.652450872,5955177.618948233
CA-AB,Synthetic crude oil,7259805.11303086,1695410.8759305077,12406439.885352215,8644454.255778082,311814117.99392325,306857161.2246276,41742817.480014645,47293492.38656459,427564653.81437737,221117166.51461887,4354897.880539595,6360254.087710433,14050871.5354254
CA-AB,Natural gas,1736667.6047515941,204354.39409585742,1249980.7779973547,1073945.9955632777,43352994.54857165,71573014.27821195,20205965.369449027,36894155.76718685,90222488.62657395,23525301.391611096,334034.7844724376,514744.49422605446,661192.2353950015
CA-AB,Natural gas liquids and related products,44201324.43186868,878172.6545414383,3568399.352847942,1235901.4124476577,34501893.682476774,73156887.2295192,15120818.749315355,18372645.816010844,158411961.02064565,41787867.64846894,631080.3097398466,1119256.5805596143,715240.1577228851
CA-AB,Crude and diluted bitumen,1427362.3259512004,239909.66738101628,2419624.4198825113,677136.5749621146,42794689.44726528,67122163.93431729,13491518.392760683,17231585.43698454,139536784.53980166,62186582.628700875,1324528.035054689,1828988.0726394076,2511817.887176579
CA-AB,Coal,128470.10432506831,9793.874532578675,70017.33564691196,57651.39292675763,729331.2012134905,1837599.1343979766,853084.54591144,1675293.3811604106,26377024.93740336,3184985.1560945017,42550.526723225936,76041.92070141048,69999.28876568205
CA-AB,Iron ores and concentrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Gold and silver ores and concentrates,1015.3775868569302,124.25679461119154,1092.1897744442713,1098.1526403806722,12215.364344097625,141720.10959346936,3176.2606808931014,1544.6713490058316,9169.550012874559,7675.800917279184,101.9648600384684,110.59503761019688,221.89875262949116
CA-AB,Copper ores and concentrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Nickel ores and concentrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Lead and zinc ores and concentrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Radioactive ores and concentrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Other metal ores and concentrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Stone,3674.1223358711372,1582.2290041341098,12485.793963473772,22793.84379219672,153039.61605418008,334913.1293794333,99786.42027610927,2473029.4132723925,15868122.505538417,717893.7810344221,6660.323822202684,16063.490224907542,10994.14510819986
CA-AB,"Sand, gravel, clay, and refractory minerals",15277.021973150744,2937.7083038436494,19564.48610413686,26627.323566689513,436061.5403472512,768152.7947721571,1045513.6716072215,2111555.6111511453,88173928.36204644,26355953.124968935,48616.71382089296,183898.26989638712,198342.8255176664
CA-AB,Uncut and industrial diamonds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Potash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Non-metallic minerals (except diamonds),127243.54867222824,14574.992838912842,92095.42414023587,82966.97338230755,1821417.7844488735,3707854.3337147455,1277000.0697596709,2943788.9407444787,32863446.896410566,10695693.753245922,75444.21152430576,153901.2667202276,141182.66492529138
CA-AB,Support services for oil and gas extraction (except exploration),1472942.7287375007,96566.30320076538,677001.363206692,256531.51354651013,8026158.53281473,21264486.82237921,33925101.71073771,227187580.36031896,1165309862.0365548,419209527.6774479,280220.3754622565,1509783.1781345075,407791.7766129312
CA-AB,Support services for mining and quarrying (except exploration),26139.503229345228,10006.839066918672,17032.267774789765,34470.33907985933,15727130.667093001,17090763.281647258,3169428.2508105105,14456821.647264222,24525639.360693138,4155608.4999879636,8830.829971645771,36333.15827514469,298884.31932631636
CA-AB,Oil and gas and mineral exploration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Electricity,6918876.353080053,644697.0013061881,5131618.803417453,3413868.6400152408,56203806.45178335,133988669.84282026,47025298.83068435,94776891.44755656,1522137955.0164208,212087087.76263973,3149074.789815849,5562613.90062654,4574524.622455642
CA-AB,Natural gas distribution,109243.92170119462,11158.314336792728,83167.1137555179,64623.812846253735,1151940.8423567282,2022183.616450817,599951.7127299485,1146330.4960064325,19488260.793095198,2694634.1706265756,46285.626288533465,90648.74530296512,86042.07902980485
CA-AB,Water delivered by water works and irrigation systems,38925.00092858826,2999.049418156435,22672.182709361543,15844.093596170842,185081.62450709945,475666.83905032673,165716.11658470638,324287.58591659216,5971017.022599591,651635.144096718,13177.016108996737,20577.392525153402,16976.256346869024
CA-AB,Sewage and dirty water disposal and cleaning services,1529.0201644660065,103.35611231162855,740.8540416407793,590.7931484583039,5512.548378890649,14498.8284638965,4839.06097748345,12248.500724279716,233924.55309108514,18309.96280733523,544.4254823017905,811.8948841483217,1255.8469189041475
CA-AB,Steam and heated or cooled air or water,296457.9174621824,37346.08641954077,316472.3894038334,347994.69823472976,2436832.621419379,6641778.540744221,2275505.001292518,3713983.899912847,59010172.92682959,8911046.87932419,141377.38582497276,201142.18474688267,129193.1335720888
CA-AB,Residential buildings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158266140.71119952,0.0,0.0,0.0,0.0
CA-AB,Industrial buildings (except mine buildings),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26013775.93732682,0.0,0.0,0.0,0.0
CA-AB,Office buildings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12053823.084312558,0.0,0.0,0.0,0.0
CA-AB,"Shopping centres, plazas, malls and stores",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7312084.873130575,0.0,0.0,0.0,0.0
CA-AB,Other commercial buildings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22269817.794179365,0.0,0.0,0.0,0.0
CA-AB,"Schools, colleges, universities and other educational buildings",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17020798.98204057,0.0,0.0,0.0,0.0
CA-AB,"Health care buildings, nursing homes and senior citizen homes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6982924.021776153,0.0,0.0,0.0,0.0
CA-AB,Other institutional buildings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3729879.425633304,0.0,0.0,0.0,0.0
CA-AB,"Highways, roads, streets, bridges and tunnels",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202797555.63963804,0.0,0.0,0.0,0.0
CA-AB,Other land transportation civil engineering works,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77877950.2399616,0.0,0.0,0.0,0.0
CA-AB,Oil and gas extraction sites and structures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278489943.6288603,0.0,0.0,0.0,0.0
CA-AB,Other oil and gas engineering works,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409734826.3399382,0.0,0.0,0.0,0.0
CA-AB,Electric power engineering works,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55094034.02699985,0.0,0.0,0.0,0.0
CA-AB,Communications networks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21211943.439599987,0.0,0.0,0.0,0.0
CA-AB,Marine engineering works,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1871339.875842053,0.0,0.0,0.0,0.0
CA-AB,Waterworks engineering works,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16900012.42148514,0.0,0.0,0.0,0.0
CA-AB,Sewage engineering works,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19689430.757563505,0.0,0.0,0.0,0.0
CA-AB,Mining engineering works,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16229176.170596518,0.0,0.0,0.0,0.0
CA-AB,Other civil engineering works,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48152922.412312604,0.0,0.0,0.0,0.0
CA-AB,Repair construction services,41077.34311860166,3055.4597226294627,20121.23201892931,12770.590844385528,203442.73959920462,576312.1752086215,154847.4773751671,337225.8316887483,6001614.204547057,673508.2220430116,15576.694456977566,26722.115517096616,23739.787046109916
CA-AB,Dog and cat food,47.11775096477229,6.44559819878021,62.51055498153791,27.62167723784007,325.9705935347136,972.6746408216859,172.77644264176726,370.7823309759866,7604.251350296845,1242.5345776422234,12.688289847778515,29.82765824388879,25.026116548452105
CA-AB,Other animal feed,1544.7525604078712,303.7303518348988,2015.619716394809,1882.1675981806688,25093.87077440484,53285.71056169168,8185.896991411539,10470.41221283082,100615.88429073528,35157.92588760137,596.4296593022008,1004.0026506132997,594.9645981557546
CA-AB,Flour and other grain mill products,2773.009247755637,362.5976124175187,2467.8518570546876,1871.2558214942233,28001.350209506447,79550.34547042637,8675.850326846694,17152.74281560337,224742.99125071883,45582.72010488126,1122.9813848179178,916.4031190967441,895.7061515222465
CA-AB,Margarine and cooking oils,1067.530823484452,151.93470266396008,929.961624177891,986.9420418375653,20614.190293993648,25356.091886179103,3631.3826932293505,7392.93941569127,114707.06742924344,49691.335373476424,423.18717353247706,475.60414137123325,515.8180255597526
CA-AB,Breakfast cereal and other cereal products,147.95222853444614,15.948582488847634,95.40029718389009,84.50139363313322,1300.178110636306,4547.865856392093,686.3697526679523,1091.1751641413425,18997.793158386245,2513.099838782838,48.69823796459661,58.27103605586108,61.29565828051645
CA-AB,"Grain and oilseed products, n.e.c.",5967.047293495372,1407.7738263096644,9160.668286632223,11075.890382128722,125742.93641643572,246823.37151891808,24187.316182742736,31323.484863263955,411707.58232545917,235369.53033024434,1715.9016992305294,3793.135497351407,3065.44119814007
CA-AB,Sugar and sugar mill by-products,1343.7874612194357,207.84198788854042,1464.0388559353944,1383.167680300685,18120.37190028642,35898.17172927968,3702.9709602502676,5182.443958443889,50452.185368342136,16493.430285395036,160.29579957570556,210.86246059311347,275.6503594716334
CA-AB,Chocolate (except confectionery),6.7661815421163585,0.7261847759095055,4.461744873019438,4.160229121014496,53.671247399518585,109.34168401906155,20.779302470780742,50.05946325102312,854.8260947061232,86.4051938402083,2.1095623232045817,2.5131828331314052,2.647531961959408
CA-AB,Confectionery products,5.875058670995326,0.38558448561255093,2.8352695435486046,2.634351639278421,25.956716249461145,66.7070889190805,21.789187753354607,60.27021046569392,1047.3745468320928,85.93943362005588,2.1286229749258987,2.8188166552295444,2.757109695581887
CA-AB,"Fresh, frozen and canned fruit and vegetable juices",121.37826534421619,49.366684739269274,211.19739894014535,159.12913010050912,1938.2056413741311,5145.86836574947,641.7713418603173,964.249085031902,12031.623028470905,3004.3425808212355,30.03576128287933,38.974851332821174,48.59317489901312
CA-AB,Preserved fruit and vegetables and frozen foods,432.3992327378543,46.874980266399724,428.045937149929,332.7594544017852,3293.9654581066147,6287.096618446248,1172.0748505133529,2739.6095515380307,40123.425786717686,5101.027965774635,104.50308489031443,122.73804242059238,131.30478048648354
CA-AB,Processed fluid milk and milk products,865.9096814184609,125.0713450235175,1143.4532327780446,1446.0080153827098,12239.152348126061,27456.771462030945,3204.9354560901925,3526.9480134296778,26661.772722109858,15907.591475541782,122.20794556380092,142.54329887616927,182.28960192395675
CA-AB,Cheese and cheese products,231.59843026354156,39.62335434228443,352.1229383941396,473.060382416196,2956.280115743848,9299.641012234048,750.0682518605724,988.829910347493,5612.491758330047,4499.223865594146,31.54869440193669,38.19358665081374,49.34920257211788
CA-AB,Butter and dry and canned dairy products,187.22038288722166,24.96467498220221,155.9165276769241,279.0655059014076,1591.4613172056402,4700.907430927502,734.0781795162425,1381.8534746186112,22724.43067447037,3973.7237310293413,58.78512337316835,71.62296818995381,75.57156464800607
CA-AB,"Ice cream, sherbet and similar frozen desserts",51.459358243576055,5.28571413954714,43.09927696036088,44.87655050730554,649.0725836302569,855.8659076680638,186.33929318982024,222.34249032733345,3281.5010580839407,1064.6231529958511,11.073382368718098,13.94153262029267,14.07848895767224
CA-AB,Fresh and frozen beef and veal,6950.356712985881,1699.3480672609317,15993.081346517183,16887.518433816218,258591.31633521963,277539.7562047309,31692.266558806165,43640.42158273917,286917.5898701228,280923.53214615886,1779.5198588277747,1893.5423580399126,2503.199897628015
CA-AB,Fresh and frozen pork,640.2003293663225,106.64651672266989,678.2377035532398,603.2923667688505,5300.008368690868,18131.58809831667,1794.9689793662176,4073.26580937718,60930.010074836406,8403.40492464704,163.86186023322296,203.29413314038044,212.62483802971494
CA-AB,Fresh and frozen poultry of all types,815.911613362999,215.1739039144641,1578.4303844870512,951.2661294390747,14173.658402534646,24325.575298852687,4610.886252407283,7961.786143148258,51465.437242710075,32330.75196728274,246.7311450197972,394.2801447582196,324.42024779756247
CA-AB,"Processed meat products, other miscellaneous meats and animal by-products",1122.2823656808432,280.3999952251073,1352.1041015751332,1208.4606023093918,19319.82025866718,27025.104278243733,4660.604127506608,8399.09070777694,106993.98483387494,23229.899818375485,550.452509227718,446.9306082739072,433.01350606401104
CA-AB,Prepared and packaged seafood products,208.9908752329219,20.306407630670982,123.1276364624508,110.23717606231342,1508.1812177357376,3141.6317303166884,716.618964501612,1820.0584270609845,36415.31716317145,2952.081689840878,79.17674361240512,103.72984614557633,100.9955201743867
CA-AB,"Bread, rolls and flatbreads",2700.862106644084,452.97619526408863,2146.9759544168455,2062.616441494276,23398.538688661112,42247.7461063045,4402.745894022179,10893.244917217902,119429.88150739363,29741.300712072847,524.6915839693804,578.5449601116962,570.7439657583017
CA-AB,"Cookies, crackers and baked sweet goods",580.3713899802145,37.84872143244433,254.70736017600433,290.8150839334217,2628.9471541806975,5084.486231208052,1921.8515459440177,6244.895318202857,75326.74195125749,8460.436935389755,215.63472722517199,236.38429636624315,259.5831617078139
CA-AB,"Flour mixes, dough and dry pasta",227.82530591327458,27.243480091983923,187.58832244006408,224.6248518692241,2030.3468138504963,4171.991445057182,1029.6547062786708,1597.918248448022,23830.095491023592,4264.249351268335,140.16831628838506,113.40997104405776,108.2181437091931
CA-AB,Snack food products,2060.1384164518063,322.4304388051079,1675.5708270317766,1330.3802721803186,23215.85333673752,45510.915552263796,6524.541847642689,14575.162070090728,120338.8138220776,21489.616920391378,353.1949802256624,432.075230886482,607.5295871281469
CA-AB,Coffee and tea,63.261546385677285,3.040870616940663,23.531754684923268,23.74150149059024,257.6973442262256,498.5430127680445,159.869061798373,682.5389111980398,8598.439700325307,535.9097886705741,19.67745958269139,23.284575835743194,25.875540088702028
CA-AB,"Flavouring syrups, seasonings and dressings",790.5378972872556,188.29024854094249,939.9116316782108,778.4471263765004,9113.666847062888,21171.447697540138,2847.482256505772,6627.840538210438,77425.15974608614,16204.44904582301,196.5988368556535,241.14831266243664,296.33194265976744
CA-AB,"Other food products, n.e.c.",270.16244405700036,32.41797415986266,218.07630927363678,248.04736699054757,2481.0076782084716,4660.9971542288595,1198.9109993658294,2555.1559446992874,42532.090187867856,4580.0845681858555,113.64990550269044,154.21101788500349,820.5758542148536
CA-AB,"Carbonated and non-carbonated drinks, bottled water and ice",7902.095305575391,3727.118216501922,19115.01179403738,12929.096528208587,161901.33807381004,465225.03347345756,44106.06976057503,69863.97001808228,739790.4277034514,233965.73249901965,1695.196553154539,2313.266201454452,3098.329205524322
CA-AB,Beer,7408.326156538198,953.3811764474807,8479.658645397629,4495.973369665999,44748.29370639133,737174.5718329666,27237.68243289246,48730.004529786536,713669.9878334561,94227.13943126191,1466.4679087509385,2413.359138297297,2684.9513484814875
CA-AB,Wine and brandy,119.6826592389682,9.255304849174578,60.388528625644696,55.067914445849745,599.3116209905027,1525.1415600698965,461.3363207398423,1178.89312605476,25067.403894193518,1804.180396856732,42.39973444713535,54.118705891524044,56.391528349402684
CA-AB,Distilled liquor,1402.8291676820106,787.2073714473697,767.7364261784223,651.8248543115112,6129.348517342182,19595.38662238178,5461.475186204536,10444.643835836983,188341.68259465415,18625.14888443985,373.49350768307073,458.4273987029367,479.90499111650735
CA-AB,"Stemmed, redried or reconstituted tobacco",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,"Cigarettes, cigars, chewing and smoking tobacco",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,"Cannabis products (except seeds, plants, and plant parts)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,"Fibre, yarn and thread",0.7264397361669142,0.08211141465820707,0.518477140044501,0.45127615390941694,3.6320249539001828,11.407086936434311,4.472973820309778,12.31384789053411,426.71512443544566,22.942359410117277,0.3573694531866535,1.3391952916755525,0.7066829831424986
CA-AB,Fabrics,42.655124410851066,6.242475737835001,35.99956061346105,28.746051552862404,223.05372810709116,894.6472167219841,602.3168572210916,1250.2392745600926,182355.9149985902,2148.0878875178564,39.7067626511651,118.34201303337979,64.51533709842269
CA-AB,"Carpets, rugs and mats",4.210468780592781,0.2522358747239278,1.6313911610754686,1.3433881204279818,17.56635473629775,46.7556804643085,14.339347961206645,34.33239264561776,85758.26727527681,57.644348435711684,1.2929418237917236,2.016560467598569,1.9019877075880494
CA-AB,Other textile furnishings,13.719832464365211,1.0065876274251269,7.279464681907814,6.157081577421773,66.88052154940246,194.11914830313597,65.49222945026226,143.22284870836043,2533.7288907832835,228.1551576658344,4.943019805893224,7.167310957418958,6.072047466206954
CA-AB,"Textile products, n.e.c.",619.0646473037492,61.54127581790697,575.1623798859188,338.39540687674804,4011.0975291239574,12803.844107500223,5430.260477569033,12316.72796367037,466450.769867936,29094.993457695924,323.7896732882485,2593.386771712598,1581.753387689812
CA-AB,Fabric weaving and finishing services,7.951526547888241,0.7788672817248907,5.6266820826287445,5.249457117570997,40.420810719216384,127.26368913148085,42.652725716552354,102.2321429982131,4747.47187965276,198.18185709787366,4.226130564988988,10.845483320524295,6.144421438585354
CA-AB,"Men's, women's, boys' and girls' clothing",157.58861978465632,16.114995898132502,137.31529067117668,152.39612946973773,878.3414964595657,3537.2554834110797,807.7578021694812,1751.0851378871985,43510.784171985746,3036.0199478822046,68.55717358366742,156.55621975907468,109.09215642474341
CA-AB,Infant clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Clothing accessories,23.802464678359996,1.721685087229564,10.652423081816513,8.428981242521761,119.30150126307826,317.27960651243916,101.82970973974126,270.8281514407059,45729.32525028945,399.49249919936517,9.969312357660133,11.629228621986575,10.499123876686653
CA-AB,Leather and dressed furs,1.2805320369325777,0.13877548708014478,1.003668424466692,0.8641253985086073,8.676516816642067,26.41006285155804,24.139342150951176,27.441468684358714,1281.1345543880543,107.54836489901577,5.686940701371417,6.059038569747921,0.912389934494036
CA-AB,Footwear,8.853828691734828,1.4658350052093987,7.058939876460571,4.663733842485229,62.84797935876399,195.73210132261008,65.0818736052152,126.65311034732989,17229.240664164277,276.67116996286336,5.731772989282705,10.224670535932853,7.585439491198639
CA-AB,"Suitcases, handbags and other leather and allied products",113.15076776055108,2.5407987198477344,28.614342612055957,31.184963615053988,275.76199041190745,470.71971102425755,252.59561873433736,1383.6646510568569,15641.188072081204,754.1153498839888,32.27667640686912,39.612214738758205,47.30329892406399
CA-AB,Hardwood lumber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Softwood lumber,91696.31481064136,26004.400218038114,838998.9828748457,100130.65463459778,3954962.4872025345,33827597.22275104,17554533.4202521,7108552.398457004,171184461.69155982,28198734.29003147,99038.3694505685,1426098.346345079,38477.27297584677
