,,"('CA-NL', 'kg CO2 eq (short)')","('CA-PE', 'kg CO2 eq (short)')","('CA-NS', 'kg CO2 eq (short)')","('CA-NB', 'kg CO2 eq (short)')","('CA-QC', 'kg CO2 eq (short)')","('CA-ON', 'kg CO2 eq (short)')","('CA-MB', 'kg CO2 eq (short)')","('CA-SK', 'kg CO2 eq (short)')","('CA-AB', 'kg CO2 eq (short)')","('CA-BC', 'kg CO2 eq (short)')","('CA-YT', 'kg CO2 eq (short)')","('CA-NT', 'kg CO2 eq (short)')","('CA-NU', 'kg CO2 eq (short)')"
CA-AB,"Cannabis plants, seeds and flowering tops",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Cattle and calves,140518.26865062607,93551.25349369306,665598.3233995218,485525.1747576296,8566218.47074221,15557051.102826316,1201486.9272036646,965794.8960532167,12637281.41445728,11381376.216973504,63442.725172903665,42578.093184666766,7003.930779227037
CA-AB,Unprocessed milk,23980.18722584557,9236.807314601485,79181.47890417646,71257.1226095357,728311.3127742031,1884764.0867742756,154454.46175134106,100329.92266944947,1278447.460296755,1717024.0738435409,6238.559870251072,2537.2101884368917,724.2839481632101
CA-AB,Hogs,16404.2267983886,12307.254179612155,52222.57614550276,34387.40387661615,479015.48757063085,881356.6124799519,325217.65957956965,78551.14812667505,651453.162986898,690709.5802677979,3955.7922911750625,2399.6528032481683,445.62215716462987
CA-AB,Eggs in shell,3216.7967438963915,1208.3829776927212,6613.313992677149,4231.643532828505,72539.5728894734,171085.86580685916,51564.081498511725,43067.20512655169,902579.8039771335,170634.97665934154,9619.05996640611,1089.56990485963,219.8171383448604
CA-AB,Poultry,9777.140193025378,6805.581069333382,44785.82299383449,32509.38630259724,568723.5144229705,823507.055257791,128042.0029037142,67224.41069288056,797273.2698737293,763149.6939752068,3876.501912404674,2228.3844427172726,423.22889565439084
CA-AB,Other live animals,849.8464473137432,570.0426195955145,4428.090513480876,3282.8020433105157,60436.25960533712,86962.37929260387,7948.936300357002,6573.995157289624,85332.25405198697,79698.47971666734,382.33231984896895,205.1174609448104,42.99166227044523
CA-AB,"Raw furskins, and animal products n.e.c.",1285.539001451401,535.7128256973448,3155.1354520059544,1852.885885296347,67521.8887496198,95135.48033952792,11022.351642530384,13279.693753078645,291379.74763154174,50251.239836840075,713.2442902501588,428.950512039384,105.3197439538868
CA-AB,Imputed fertilizer (fertilizer produced for own consumption),2647.0426035819237,1409.1439848547745,9529.573823341581,6475.584530235092,121364.53929546384,215055.5030537195,22161.91955299035,23183.412851146037,374998.81601606053,218945.71833590665,2113.610088596191,2357.7384037953498,234.76988072946577
CA-AB,Logs and bolts,26222.0681363983,3114.212950873952,87760.4498820597,15695.110839727993,966441.8024940972,3199724.969424749,1746628.2575523627,1474630.293865709,22640622.032434955,4471920.033289177,27517.36596072,52375.14056237092,1356.0401239533683
CA-AB,Pulpwood,92.34159336645817,59.15239506628991,375.3037542786513,147.13231251977692,1864.7127520005172,10038.609835545907,2325.829372223232,1305.5660975074943,12030.805693601917,30345.83308594505,59.30826063356577,20.835147019173416,6.024557488605133
CA-AB,Fuel wood,0.24968215546997213,0.06702938950653123,0.6494986254939332,0.19901853229439015,4.721345078226527,22.571988244824773,1.7227913102109875,1.8154250630670898,11.268816234938617,19.946734040213048,5.061625888461026,593.3965639336745,3.3874506917708325
CA-AB,"Rough untreated poles, posts and piling",116.96097708111229,46.083629228955886,1398.5018161891137,156.90790108329116,6964.84967356156,52242.00768348674,28194.093328730618,11241.071441439437,313390.30439648737,52765.68128267957,390.2007271496097,1362.3820020044136,7.29221608858581
CA-AB,"Fish, crustaceans, shellfish and other fishery products",87.59126022472105,31.732698146090307,181.47237293848207,116.06235141869594,2100.007531826722,4542.831516750489,636.0562103129513,673.2058839783996,24725.450552313105,3468.4223745893114,59.82994679673695,29.87381238407678,5.433490402390193
CA-AB,Custom work services for forestry,42751.53853524153,9500.301766992789,281553.5979524733,35369.89027300498,1920773.316132868,10775839.841445839,5691890.597068761,2654280.5117835407,68417483.88561846,11025267.847458135,81210.1486088421,259714.88557505416,2105.5161686330925
CA-AB,Support services for crop production,2069.252659633919,1111.7971670691252,7529.675293688969,5093.812324192558,94794.79409839737,168788.2707411173,17910.989887082465,76738.17653352443,398801.09261905256,335798.3981519678,1682.2239074317906,2616.8031827693767,813.0459085464992
CA-AB,"Support services for animal production, hunting and fishing",26853.90361105518,15771.781740065786,110500.07738899828,79098.45106606044,1328684.4513421836,2494037.3850686806,255521.5833847361,181838.35128986684,3330369.1450818493,2088769.031882551,20840.41163414243,21127.716112546153,1624.4419029816213
CA-AB,Support services for forestry,5117.958206492458,953.6142831257621,27557.663997811105,3967.3806299398375,213833.63516148474,1041923.7738854454,552406.8878303508,312690.0318091758,6776822.5875468915,1171566.0979759092,8099.7740251404575,23388.12547756571,347.7604232859636
CA-AB,Conventional crude oil,1103744.746483812,485268.479458499,5672176.67475846,1031290.8338200349,34531120.38473824,200709684.1297614,18862426.618153267,17668256.973905914,129358389.12580967,130376562.10454433,1047660.8973434797,964692.0277319672,258107.07789553466
CA-AB,Synthetic crude oil,1424974.9805447527,907633.7654141505,7846766.285758628,3279708.129849568,150412795.69433188,148584559.30473426,13828807.107851727,7790047.048143147,104605518.95890868,114345887.36384565,849655.1310833135,822892.259288415,251627.24195747354
CA-AB,Natural gas,230441.8594041973,111148.15889009218,795591.6035429161,449565.6192670582,23058355.200803418,40850359.92087709,9420758.693592835,7298710.032752832,26719025.251828823,10564586.250105364,86000.8773757088,70163.63608243054,23853.781884741722
CA-AB,Natural gas liquids and related products,795839.9639723058,411974.12185843557,2250389.1262643156,496561.71461104427,17233461.423456702,37917218.21163989,4232105.434210126,1785624.6985816956,25797374.90724682,12014821.4750035,160080.13646939624,136912.3245271453,29471.53745394132
CA-AB,Crude and diluted bitumen,256143.21580561931,115458.78085741757,1554061.4467301986,294534.48848593846,20545791.079099033,31984971.300436135,4362351.73374875,2690453.6448939005,33726567.9683497,31660406.68823828,261942.86559300282,253724.79851024813,67780.88002010246
CA-AB,Coal,14556.480451025285,5568.7978120958505,45316.81429588965,24070.36509738351,381057.6413779843,1035536.2495800513,328627.71205873106,278151.22378275206,8768869.375392562,1514208.7691354821,11225.430214868456,11965.763767487571,2279.031504767888
CA-AB,Iron ores and concentrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Gold and silver ores and concentrates,166.90989170604547,71.2808797231316,606.5521289677731,398.1943202829309,5853.94716832884,68733.93332243232,1044.7024861999403,395.44893046931725,2921.9275869316516,3953.838318464756,27.556810428986957,13.400648795359833,8.795773742272914
CA-AB,Copper ores and concentrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Nickel ores and concentrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Lead and zinc ores and concentrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Radioactive ores and concentrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Other metal ores and concentrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Stone,966.7781538365964,854.1314887531124,8364.531062382233,13477.80266716727,97304.49550186186,223036.51145874534,51113.68958432968,341997.16269977903,2777917.7049968643,380486.14834144764,2752.1861058660033,3685.481383940144,1907.25315764396
CA-AB,"Sand, gravel, clay, and refractory minerals",2469.339842198116,1628.7666808781307,12890.458377327666,14912.710709400963,204888.45903347273,380958.0698429599,287228.2147219902,294269.0872744935,12073683.092355052,8759620.459924407,16955.728705916234,21323.32618439514,14136.736918904435
CA-AB,Uncut and industrial diamonds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Potash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Non-metallic minerals (except diamonds),14236.81148468356,6962.89691051147,57786.46919703949,41404.49429635812,896317.3772719529,1909103.2127636904,390234.584682964,384827.72797393426,10997590.7237684,5195502.026588213,21284.72669498591,23401.228425716883,12511.34550346863
CA-AB,Support services for oil and gas extraction (except exploration),85758.20731840929,44254.83158137282,429821.50361191225,103210.47536859907,3933639.003343747,10446288.622944366,1294308.4486478132,1184638.027219418,8561526.310747761,8583086.570585122,58992.735108748675,49498.80349762742,14142.86434476901
CA-AB,Support services for mining and quarrying (except exploration),3648.200386050865,3258.6722565558443,9511.996457547602,7717.645494408527,388621.6451375779,780101.4936145678,156638.10026791258,128805.46285109692,2150479.167864014,1414033.2135998753,3039.777689691312,3706.250657733988,2416.376816600984
CA-AB,Oil and gas and mineral exploration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Electricity,852129.0646711572,371033.332325544,3394890.476786151,1557722.6611190583,29948792.03047836,77151869.23582919,21196928.35895094,18022240.254717864,534859818.69243413,96184682.2584574,887451.5951299648,989898.3855290571,174217.59254238545
CA-AB,Natural gas distribution,13349.268395852705,6480.190906756763,54056.272001350975,28847.20783473236,593059.9689230748,1160722.4673674293,283814.488694973,239724.30309901733,7625272.869242312,1342336.9057628848,12984.90047763117,13533.781426839361,2395.9252415365077
CA-AB,Water delivered by water works and irrigation systems,3701.169099001959,1850.7826487273694,14826.79788384585,7338.402182157102,102717.91024875622,284116.9391598664,72862.77951633865,72616.6372211961,2142955.1979974937,353335.3054987292,3773.101324162668,4104.570873847516,814.5965370580022
CA-AB,Sewage and dirty water disposal and cleaning services,194.54896350404078,60.18944360695581,447.8507390754836,236.36023584893206,2678.441147815732,7907.285985709338,1924.1525793446076,1899.085712294184,83190.88511967903,8585.96543151944,140.0902407003749,134.24464238621528,28.557335646602905
CA-AB,Steam and heated or cooled air or water,36106.771561616755,22207.127024764275,209010.37389333572,190478.95101373165,1560449.0907603551,4389416.63306581,1211794.488598556,1178722.3785994947,25255215.17314013,5316400.723993068,37191.33879538662,41923.54311681214,9101.191814207166
CA-AB,Residential buildings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154455652.74730325,0.0,0.0,0.0,0.0
CA-AB,Industrial buildings (except mine buildings),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Office buildings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,"Shopping centres, plazas, malls and stores",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Other commercial buildings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,"Schools, colleges, universities and other educational buildings",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,"Health care buildings, nursing homes and senior citizen homes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Other institutional buildings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,"Highways, roads, streets, bridges and tunnels",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Other land transportation civil engineering works,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Oil and gas extraction sites and structures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Other oil and gas engineering works,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Electric power engineering works,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Communications networks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Marine engineering works,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Waterworks engineering works,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Sewage engineering works,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Mining engineering works,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Other civil engineering works,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Repair construction services,3600.7745994411316,1652.6531268832325,12985.89558442907,5337.21535978258,101070.30333406516,306633.8469270823,62139.91031124819,58613.56843053849,2209477.884735524,342083.62185969367,4630.782039109469,5152.884893616811,837.8565117018348
CA-AB,Dog and cat food,7.747842557877754,3.8159983413288634,33.6559681373021,10.778906433134965,168.35738287430718,607.7685222414548,75.50256407580274,70.64066240246171,2507.1100445879056,698.2680027749585,3.765757489328172,2.4087580485017392,0.4841652319448104
CA-AB,Other animal feed,340.0024223555493,203.87713255949305,1310.7017474416239,896.8889329105695,14958.203578705874,34765.874570868094,3652.2408270731307,2339.9362334239,32725.53706180435,21947.44236849404,204.0668498848163,201.0361042990111,18.144241956397202
CA-AB,Flour and other grain mill products,574.7773009989919,240.07339301896488,1599.7370966089607,829.9597546989706,15722.336165611017,52583.10325460834,3672.8395948925604,3079.599644760313,70336.68473720677,26701.410389043645,419.6724280271728,133.99079100993956,25.57981635323052
CA-AB,Margarine and cooking oils,212.08787073364323,101.32540967138898,605.663368526582,447.2631428561917,12198.18864083824,16381.652237487544,1587.8553958206649,1385.3564087520817,37746.86703639323,31599.429599949377,130.42339068330386,59.737643595619275,13.081277361921018
CA-AB,Breakfast cereal and other cereal products,27.816976123184062,10.468975602500342,60.57091269653801,36.18082332264506,742.5568967933411,2998.0860416448513,320.2189899067476,202.66083310628107,7002.548391464766,1530.2195030506077,16.836545229473316,8.493827848113384,1.7778847427297702
CA-AB,"Grain and oilseed products, n.e.c.",1305.4414158038608,943.2988045096706,6211.860638779005,4656.180332005587,72246.23265873762,156476.0594524078,11193.277890400577,7045.700025942157,130435.11001513299,143079.60909438907,543.2260155822032,425.8545336094532,89.39223513754636
CA-AB,Sugar and sugar mill by-products,337.7508053819252,144.4077838680049,976.5630531721462,658.4374438367752,10909.353275430114,23794.38791292417,1804.1983750013262,1266.2605796595058,17663.274438864635,10602.902492637102,49.23347902999044,28.7890094881925,8.709706536355316
CA-AB,Chocolate (except confectionery),1.3030355037082368,0.48732099421155883,2.8397843305395707,1.8435946599831654,30.66190199391591,69.41424243560289,8.90356642562635,9.028726369039827,311.4923406203537,49.862914219409426,0.7230029493216209,0.3647950409227603,0.06927755712188777
CA-AB,Confectionery products,0.7332488621077492,0.24066271944077197,1.6903355268975226,0.9992566611786071,12.574544703926355,39.069063457819574,8.98414166827596,9.09380945704089,392.61080863363696,47.12200505006797,0.6298415460063798,0.40273200743688986,0.06378422693337432
CA-AB,"Fresh, frozen and canned fruit and vegetable juices",23.50428298308755,35.58451851146822,146.75494805343942,79.64659243791685,1188.8919416742413,3447.350834968512,313.92214177698924,210.41745472673387,4297.402226131539,1961.2699931741813,9.028971115200907,4.979031779828221,1.3853369443095207
CA-AB,Preserved fruit and vegetables and frozen foods,98.25409436858685,31.68675951528573,277.5929159466712,156.8025933926359,1924.069403175587,4069.0346628266475,524.7790991220277,587.363286984666,14779.12775970439,3085.1929429655993,36.4068922300875,17.937065131964054,3.523596261681479
CA-AB,Processed fluid milk and milk products,224.85056452767915,85.70074474931363,755.3755471302202,702.7909002388415,7384.5941757007695,18478.347325276292,1577.8801281450037,921.2097352298902,9301.660708555735,10571.76942696928,41.32667052348145,19.124279173896984,5.900202402846559
CA-AB,Cheese and cheese products,59.18304627325525,26.87258861964413,232.0796736901239,234.70749335611097,1742.8699709497448,6201.356524879206,359.55253143508907,270.3687624581101,1915.2661744377983,2993.3451874560037,10.48258178649062,4.841078657071307,1.6665929123802572
CA-AB,Butter and dry and canned dairy products,37.670728325441864,16.93178356840457,100.89269897385068,133.67767349568177,906.0045865370623,3062.5133067675474,333.7129654265122,272.0796446797509,7989.073945129773,2461.715275369323,20.216699567093638,10.686588932170421,2.112505157150708
CA-AB,"Ice cream, sherbet and similar frozen desserts",13.158282911132286,3.588191638786152,28.048756330188507,21.647951157014877,396.070284701114,568.5949007719983,91.23898526707258,46.64893669653225,1209.1298753243536,705.1613791580133,3.8480884260722665,2.069890111026476,0.3836183158423644
CA-AB,Fresh and frozen beef and veal,1617.8677652000517,1173.2160890642012,10518.197247735425,8393.094862461661,159936.9275928329,188228.12167795768,15517.935864177232,12287.805497576628,102603.76570591482,190943.32681935656,608.3675359521761,246.15483703562478,72.78369847839593
CA-AB,Fresh and frozen pork,136.02485944014327,72.88844562709008,439.02200069649814,282.0984316736698,3049.7930437218274,12091.855131731072,780.9489497755841,821.5287227326938,22204.320871583775,5107.412409964851,56.14467303687905,28.699233910730538,6.2627543820874925
CA-AB,Fresh and frozen poultry of all types,178.9855606166481,144.87658508064493,1019.9203646289901,447.61324692173315,8469.626208152004,16153.027320752712,2256.5910182648818,2258.3897873301385,18178.325148228076,21428.156987011906,84.156199206311,58.310718783723395,8.799512297298136
CA-AB,"Processed meat products, other miscellaneous meats and animal by-products",228.05501773267503,191.77292483026372,872.7991513864857,570.7535372095606,11484.347847077344,17425.251221421844,2091.8552015307714,1739.4462873652596,36929.005951960484,14063.46825819579,218.40527180497324,68.0092943923485,12.66068174480618
CA-AB,Prepared and packaged seafood products,38.032808359470835,13.382940972513316,77.57917185962845,47.71171800272202,849.7740836742158,1968.2712882254593,307.66694554605164,322.88105080234766,12599.192641288379,1600.8512811484627,27.719680750081366,16.411878947777993,2.761167823834847
CA-AB,"Bread, rolls and flatbreads",664.4730282798373,317.44878113576686,1393.3635769599161,972.290106360542,13825.010501143499,27752.591009715816,1899.9517431314287,2016.3157014958185,36834.25617091834,18414.791205278816,176.59051338672865,78.55326855171516,13.925086270972237
CA-AB,"Cookies, crackers and baked sweet goods",68.61327342088656,24.547514625448066,149.4634795892657,110.44184705513784,1289.2806745471978,2968.134726510181,729.2228141672447,748.6743999031755,18049.32199079241,4762.039370616989,59.81303219020383,24.77170671221484,4.3986849501536085
CA-AB,"Flour mixes, dough and dry pasta",47.81755571208778,18.30688548069373,119.4060944177476,104.3313504524013,1169.4361189204037,2693.7766733468306,480.500220619369,324.31019142207356,8485.875047904403,2631.523363173656,57.22341911930061,18.282327192255455,2.9877656075819745
CA-AB,Snack food products,362.1205970739913,221.61397345492446,1086.6673434560782,562.4910442118761,13298.96381951172,29786.935452644087,2964.973670208872,2203.336105781284,25560.80411385421,12467.310716074797,82.80529972530766,38.764183267359634,11.76426824046879
CA-AB,Coffee and tea,6.965194389168413,1.9223885250506096,13.312229143682913,8.429107330296993,123.90877946238642,285.7903462354767,51.97828555573208,74.58892090853729,2029.3748108881484,270.5532120695963,4.695164212824581,2.1734715798560806,0.40033736703434847
CA-AB,"Flavouring syrups, seasonings and dressings",138.29947874849327,133.82414400743914,635.7543250606159,370.76459923465376,5418.466519163583,13978.07430457281,1265.1127867876473,1120.0209750083934,22439.288235355736,10213.156320979251,52.29572845918482,26.289052346209264,6.677618703489408
CA-AB,"Other food products, n.e.c.",51.999580493249,21.849510882352998,141.48391689815267,117.02595376245108,1422.7030741968051,2965.1850992552327,541.2255066678086,483.9682181126938,13545.015666350908,2542.447221331531,42.15700114297396,22.085044229841728,10.0153247643623
CA-AB,"Carbonated and non-carbonated drinks, bottled water and ice",1520.2971782469529,2709.9479403722166,13561.396658956657,6659.6852888747535,101451.68708158808,316154.58214127546,22411.093303884067,16806.145737505885,277930.53265302296,157987.78743697802,450.78497351364064,281.01457397359525,96.21031887078288
CA-AB,Beer,1377.2167844721118,607.239551339515,5713.313927738114,1791.5662016175474,22516.287843136215,517667.6041317673,12733.412479313323,11554.37767630122,288818.66065658146,58567.520535952426,434.07690982763916,332.49269283348536,118.79554978184109
CA-AB,Wine and brandy,16.54719425461381,5.906478385231902,36.937296340264396,21.632671634427727,300.8324136955707,906.2793648021106,193.25767429821295,190.9900119759848,9858.708406731248,991.6625220272778,13.243004492391234,7.9262725148165485,1.4365596295310588
CA-AB,Distilled liquor,247.20397017388473,614.2463253577095,486.455263144675,270.55292458065566,3174.834807360371,12291.016014485225,2552.364171177488,1902.827042675405,71944.95761025275,10979.18948012359,118.99896260670153,64.06193439580018,11.845957528732434
CA-AB,"Stemmed, redried or reconstituted tobacco",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,"Cigarettes, cigars, chewing and smoking tobacco",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,"Cannabis products (except seeds, plants, and plant parts)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,"Fibre, yarn and thread",0.12638958436524036,0.05448515059140908,0.3335315214241463,0.1840612222885832,1.896082611365477,6.876766100826733,2.105672536651038,4.551410859699305,223.10880738613278,13.494719463987987,0.11780326164210757,0.23917662509161283,0.04629704236475798
CA-AB,Fabrics,7.8363435636287635,4.216178327171676,23.20118998189272,11.396431932443535,116.19661962994215,556.7629541164619,278.25288937555734,695.0144835826862,79864.65383146427,1481.4318151985547,14.432320434337813,44.60850138778122,9.226034072453896
CA-AB,"Carpets, rugs and mats",0.37040363420827505,0.13635806745625348,0.999365803364042,0.4994933764129378,7.855251759679042,23.638454625012145,5.366882604813062,5.1883305582815735,61072.67851997443,30.289296364625926,0.3924305834953774,0.3470990450996604,0.060926011635809546
CA-AB,Other textile furnishings,1.958892696123375,0.6383211999123877,4.66387425479528,2.3975648792697366,35.137397262883916,123.42299603259269,34.93233313987496,30.33912015838262,1014.4148147913608,138.93532350242268,1.6063560792276332,1.3852026103278632,0.14244811366497936
CA-AB,"Textile products, n.e.c.",164.04316607673059,40.519168307923636,425.0834107347696,184.5121746321048,2607.8090590284964,8396.329341549072,3314.2184271894857,4594.467211952579,151089.7383231711,15698.310828142894,130.35312270817383,266.0520543464802,46.32323359126756
CA-AB,Fabric weaving and finishing services,1.222216207636689,0.4955841385033693,3.5413230622314424,2.1602067093437243,20.668406841039623,74.35846249975111,19.623205243287607,24.439984416183513,2787.7477859095097,117.37136922568666,1.5413275313404342,1.2514560038849298,0.19538772460229376
CA-AB,"Men's, women's, boys' and girls' clothing",21.115451260528516,10.020435692497383,85.02784360799687,65.80476059729105,427.6928032754441,2035.7586912310455,345.4947969589086,288.31292687324867,11779.11052574188,1460.7973530586498,21.858530763622404,24.71483017525671,3.018652467161626
CA-AB,Infant clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Clothing accessories,2.564526471157654,1.0291231181470646,6.490327895827313,3.173739522744395,51.25022886530206,163.31110685694256,37.32851878560135,48.62965462786401,20562.887550333522,210.70493282092218,3.0612729327716615,2.0146396640500592,0.3033329114754203
CA-AB,Leather and dressed furs,0.1557427370792146,0.09386658063283541,0.5924790870540463,0.3556673822565171,5.188046280743908,17.673003881661177,15.561512566321193,11.71680254442947,710.5598465000082,77.54639754441577,2.5488879912484026,2.438419030174814,0.025592713778145204
CA-AB,Footwear,1.2874843861335927,1.0239992911256204,4.7451542432312745,1.98399068570705,33.799207295925044,125.03429278475707,33.88817690619289,25.509116889796648,9620.154138503543,139.9999020008541,1.8229947018423367,2.063008610555687,0.26322591956627844
CA-AB,"Suitcases, handbags and other leather and allied products",7.97814343109034,1.405316467298528,14.087021766628663,8.361783337949843,94.35961344684969,214.9680751792781,63.76810092790755,119.9480177286713,2867.730168783186,332.9005702295688,5.325171450225913,2.3366448268100597,0.48213677019460105
CA-AB,Hardwood lumber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Softwood lumber,59276.03536222005,23101.204891510075,795751.9989560238,80063.64106250551,3459832.396397892,30265919.51377404,15372011.583732804,5040855.969172384,147404242.5291014,24575689.997149948,49103.309951882955,785269.9718037609,3582.636249205764
